sprint,data_snapshot,item_id,tipo,issue_numero,titulo,status_board,estado_issue,responsaveis,url
Lab01S02,2026-08-20T23:14:42Z,PVTI_lAHOCKgV4s4BgGdJzg3Ya3o,Issue,15,Documentar colunas do board e limite de WIP,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/15
Lab01S02,2026-08-20T23:14:42Z,PVTI_lAHOCKgV4s4BgGdJzg3Ya4o,Issue,16,Corrigir e reexportar o snapshot de fechamento de sprint,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/16
Lab01S02,2026-08-20T23:14:42Z,PVTI_lAHOCKgV4s4BgGdJzg3Yd5Q,Issue,17,Ajustes na coleta paginada: tamanho de página e limite de uso da API,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/17
Lab01S02,2026-08-20T23:14:42Z,PVTI_lAHOCKgV4s4BgGdJzg3Y4fY,Issue,18,RQ09 — A cadência de releases se mantém ao longo da vida do projeto?,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/18
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3hbPE,Issue,20,Análise e visualização de dados para a RQ 1,To do,OPEN,gabrieltinoco,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/20
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3hbTg,Issue,21,Análise e visualização de dados para a RQ 2,To do,OPEN,gabrieltinoco,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/21
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3hbkg,Issue,22,Análise e visualização de dados para a RQ 3,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/22
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3hbnw,Issue,23,Análise e visualização de dados para a RQ 4,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/23
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3hcDE,Issue,28,Análise e visualização de dados para a RQ 9,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/28
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3ZE8s,Issue,19,Garantir reprodutibilidade e integridade dos dados do Lab01,Done,CLOSED,gabrieltinoco,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/19
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2mSDY,Issue,6,Validar RQ02 para 1000 repositorios,Done,CLOSED,gabrieltinoco,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/6
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2mR3w,Issue,5,Validar RQ01 para 1000 repositorios,Done,CLOSED,gabrieltinoco,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/5
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2mSN0,Issue,7,Validar RQ03 para 1000 repositorios,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/7
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2mST8,Issue,8,Validar RQ04 para 1000 repositorios,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/8
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2b6-k,Issue,2,Fazer mineração dos dados e RQ05-07,Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/2
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2dvW4,Issue,3,Extrair e validar as métricas das RQ03 e RQ04,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/3
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2eU7I,Issue,4,Extração e Validação RQ01 e RQ02,Done,CLOSED,gabrieltinoco,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/4
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2mTJ4,Issue,12,Paginação (consulta 1000 repositórios),Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/12
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3LNPQ,Issue,13,RQ08 — Licença afeta popularidade/contribuição?,Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/13
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2mSsE,Issue,11,Validar RQ07 para 1000 repositorios,Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/11
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2mSl0,Issue,10,Validar RQ06 para 1000 repositorios,Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/10
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg2mSX0,Issue,9,Validar RQ05 para 1000 repositorios,Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/9
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3Ya2M,Issue,14,Primeira versão do relatório com hipóteses informais,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/14
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3Ya3o,Issue,15,Documentar colunas do board e limite de WIP,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/15
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3Ya4o,Issue,16,Corrigir e reexportar o snapshot de fechamento de sprint,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/16
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3Yd5Q,Issue,17,Ajustes na coleta paginada: tamanho de página e limite de uso da API,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/17
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3Y4fY,Issue,18,RQ09 — A cadência de releases se mantém ao longo da vida do projeto?,Done,CLOSED,art1544,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/18
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3hb6A,Issue,27,Análise e visualização de dados para a RQ 8,Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/27
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3hbyw,Issue,26,Análise e visualização de dados para a RQ 7,Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/26
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3hbwo,Issue,25,Análise e visualização de dados para a RQ 6,Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/25
Lab01S03,2026-08-27T22:13:23Z,PVTI_lAHOCKgV4s4BgGdJzg3hbtA,Issue,24,Análise e visualização de dados para a RQ 5,Done,CLOSED,gabitolage,https://github.com/gabrieltinoco/Laboratorio-Experimentacao-de-Software/issues/24
